,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
449,Graaff-Reinet,ZA,-32.2522,24.5308,54.91,69,98,6.15,overcast clouds
450,Shingu,JP,33.7333,135.9833,93.07,51,66,3.15,broken clouds
451,Svetlyy,RU,54.675,20.1347,54.97,62,100,7.49,overcast clouds
452,Yurga,RU,55.7231,84.8861,59.56,64,13,5.68,few clouds
453,Muros,ES,42.7762,-9.0603,70.09,79,24,11.18,few clouds
454,Baoding,CN,38.8511,115.4903,88.43,62,50,6.49,scattered clouds
455,Pitimbu,BR,-7.4706,-34.8086,73.99,87,61,3.91,broken clouds
456,Katsuura,JP,35.1333,140.3,87.17,74,98,12.84,overcast clouds
457,Kitgum,UG,3.2783,32.8867,60.64,96,84,1.81,broken clouds
458,Yulara,AU,-25.2406,130.9889,77.52,38,7,18.43,clear sky
459,Bengkulu,ID,-3.8004,102.2655,76.96,86,100,2.59,overcast clouds
460,Denpasar,ID,-8.65,115.2167,78.46,100,40,2.3,scattered clouds
461,Talnakh,RU,69.4865,88.3972,51.21,52,14,3.65,few clouds
462,Koungou,YT,-12.7336,45.2042,73.11,88,20,3.44,few clouds
463,Skibbereen,IE,51.55,-9.2667,61.11,93,47,15.55,scattered clouds
464,Gizo,SB,-8.103,156.8419,84.9,69,16,8.77,few clouds
465,Abay,KZ,49.6311,72.8539,61.18,58,65,14.45,broken clouds
466,Toora-Khem,RU,52.4675,96.11,64.35,63,91,2.35,overcast clouds
467,Lazaro Cardenas,MX,17.9583,-102.2,82.8,78,57,6.69,broken clouds
468,Puerto Escondido,MX,15.85,-97.0667,82.17,81,79,2.68,broken clouds
469,Hirara,JP,24.8,125.2833,84.2,76,4,12.15,clear sky
470,Nurota,UZ,40.5614,65.6886,79.52,32,7,6.4,clear sky
471,Aripuana,BR,-9.1667,-60.6333,78.21,45,100,2.35,overcast clouds
472,Uchaly,RU,54.2996,59.4521,52.5,93,98,6.87,overcast clouds
473,Pafos,CY,34.7667,32.4167,74.98,64,100,6.91,overcast clouds
474,Preobrazheniye,RU,42.9019,133.9064,77.04,82,33,5.64,scattered clouds
475,Vilhena,BR,-12.7406,-60.1458,72.99,45,77,3.2,broken clouds
476,Santa Lucia,ES,27.9117,-15.5407,66.76,78,20,26.46,few clouds
477,Weligama,LK,5.9667,80.4167,77.32,86,100,19.06,overcast clouds
478,Hambantota,LK,6.1241,81.1185,78.55,81,100,27.51,overcast clouds
479,Vila,PT,42.0304,-8.1588,59.7,89,0,4.09,clear sky
480,Vestmanna,FO,62.1564,-7.1664,47.32,93,100,12.66,overcast clouds
481,Rock Springs,US,41.5875,-109.2029,75.04,41,100,11.5,overcast clouds
482,Zatoka,UA,46.0725,30.4654,68.14,78,5,12.55,clear sky
483,Peleduy,RU,59.6289,112.7406,79.38,51,88,7.4,overcast clouds
484,Semirom,IR,31.4167,51.5667,66.76,36,0,2.3,clear sky
485,Bambui,BR,-20.0064,-45.9769,68.05,51,12,1.88,few clouds
486,Guerrero Negro,MX,27.9769,-114.0611,73.44,73,31,16.42,scattered clouds
487,Darnah,LY,32.767,22.6367,78.48,77,0,19.89,clear sky
488,Salalah,OM,17.0151,54.0924,75.29,100,100,2.3,drizzle
489,Hegang,CN,47.4,130.3667,86.4,49,97,2.64,overcast clouds
490,Laibin,CN,23.7,109.2667,89.33,61,52,6.42,broken clouds
491,Trat,TH,12.5,102.5,80.87,81,100,5.37,overcast clouds
492,Qeshm,IR,26.9581,56.2719,91.44,69,94,7.92,overcast clouds
493,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,94,100,3.44,overcast clouds
494,Oleksandrivka,UA,48.9634,32.2349,63.01,95,100,8.79,overcast clouds
495,Zhengjiatun,CN,43.5064,123.5064,82.36,79,83,5.21,light rain
496,Liverpool,GB,53.4106,-2.9779,68.14,85,75,16.11,broken clouds
497,Plettenberg Bay,ZA,-34.0527,23.3716,58.95,60,23,3.15,few clouds
498,Lacombe,CA,52.4668,-113.7353,65.32,83,10,5.3,clear sky
499,Les Cayes,HT,18.2,-73.75,77.97,81,17,4.0,few clouds
500,Trairi,BR,-3.2778,-39.2689,77.95,79,19,10.29,few clouds
501,Elizabeth City,US,36.2946,-76.2511,83.05,88,0,4.61,clear sky
502,Nome,US,64.5011,-165.4064,67.15,63,0,18.41,clear sky
503,Hualmay,PE,-11.0964,-77.6139,61.43,84,36,13.04,scattered clouds
504,Nortelandia,BR,-14.4547,-56.8028,73.47,32,0,3.44,clear sky
505,Pontes E Lacerda,BR,-15.2261,-59.3353,75.42,43,0,3.2,clear sky
506,Mason City,US,43.1536,-93.201,84.18,78,0,9.22,clear sky
507,Moengo,SR,5.6167,-54.4,73.54,99,93,2.62,overcast clouds
508,Maltahohe,NA,-24.8333,16.9833,46.02,82,3,6.55,clear sky
509,Lekoni,GA,-1.5843,14.2591,74.12,65,27,8.37,scattered clouds
510,Nanakuli,US,21.3906,-158.1547,84.15,54,20,14.97,few clouds
511,Puerto Narino,CO,-3.7703,-70.3831,73.51,98,100,1.83,overcast clouds
512,Ismailia,EG,30.6043,32.2723,73.29,88,6,5.44,clear sky
513,Husavik,IS,66.0449,-17.3389,45.14,98,100,18.52,overcast clouds
514,Naze,JP,28.3667,129.4833,81.1,84,12,10.09,few clouds
515,Uglegorsk,RU,49.0833,142.0333,65.62,77,100,4.03,overcast clouds
516,Nabire,ID,-3.3667,135.4833,84.99,69,76,3.38,broken clouds
517,Cloquet,US,46.7216,-92.4594,68.38,87,58,0.0,broken clouds
518,Mnogovershinnyy,RU,53.9353,139.9242,59.25,92,100,2.84,light rain
519,Baiyin,CN,36.5583,104.2081,74.21,60,5,3.2,clear sky
520,Clarksdale,US,34.2001,-90.5709,84.18,84,40,9.22,scattered clouds
521,Whitehorse,CA,60.7161,-135.0538,57.02,88,100,2.46,overcast clouds
522,Usta Muhammad,PK,28.1794,68.0445,90.05,62,0,10.33,clear sky
523,Nucet,RO,44.7833,25.55,66.88,99,1,3.96,clear sky
524,Amahai,ID,-3.3333,128.9167,81.59,75,99,3.85,overcast clouds
525,Georgiyevka,KZ,43.0369,74.7114,68.04,77,40,6.71,scattered clouds
526,Chara,RU,56.9064,118.2631,74.97,52,69,2.06,broken clouds
527,Cumberland,US,35.0502,-78.8664,88.48,62,0,4.61,clear sky
528,Harper,LR,4.375,-7.7169,74.88,76,100,6.71,overcast clouds
529,Sorland,NO,67.667,12.6934,53.46,79,93,19.24,overcast clouds
530,Revda,RU,56.801,59.9303,54.97,85,0,2.19,clear sky
531,Barsovo,RU,61.1667,73.1667,64.02,60,18,6.11,few clouds
532,Moussoro,TD,13.6408,16.4901,78.12,73,71,7.07,broken clouds
533,Ambulu,ID,-8.345,113.6058,81.82,71,96,4.07,overcast clouds
534,Nuuk,GL,64.1835,-51.7216,48.81,87,100,10.36,overcast clouds
535,Tahe,CN,52.3333,124.7333,82.0,44,0,3.02,clear sky
536,Paita,PE,-5.0892,-81.1144,64.49,85,1,13.42,clear sky
537,Karla,EE,59.3723,24.9275,55.36,99,0,2.3,clear sky
538,Blind River,CA,46.1834,-82.9582,62.71,81,5,6.78,clear sky
539,General Roca,AR,-39.0333,-67.5833,46.78,39,0,4.27,clear sky
540,Nhamunda,BR,-2.1861,-56.7131,77.16,82,100,2.33,overcast clouds
541,Yaan,NG,7.3833,8.5667,70.97,94,100,4.18,overcast clouds
542,Bom Jesus,BR,-9.0744,-44.3586,68.97,41,69,2.13,broken clouds
543,Dedovichi,RU,57.5517,29.9502,54.25,92,100,3.22,overcast clouds
544,Krasnoselkup,RU,65.7,82.4667,54.7,56,19,14.05,few clouds
545,Mao,ES,39.8885,4.2658,75.76,83,0,4.61,clear sky
546,Lubango,AO,-14.9172,13.4925,50.52,31,57,4.41,broken clouds
547,Novikovo,RU,51.1537,37.8879,63.54,93,73,8.03,broken clouds
548,Agadir,MA,30.4202,-9.5982,68.45,47,32,3.96,scattered clouds
549,Vana-Vigala,EE,58.7806,24.2522,57.13,98,100,4.07,light rain
550,Laranjeiro,PT,37.0683,-7.7937,69.4,65,0,2.3,clear sky
551,Byron Bay,AU,-28.65,153.6167,71.94,60,79,9.35,broken clouds
552,Huangnihe,CN,43.5583,128.0239,83.44,66,75,3.24,broken clouds
553,Ponot,PH,8.452,123.0222,85.95,66,96,0.76,overcast clouds
554,Muzhi,RU,65.3667,64.6667,63.5,58,50,5.97,scattered clouds
555,Santiago Del Estero,AR,-27.7951,-64.2615,68.54,49,100,14.09,overcast clouds
556,Aklavik,CA,68.2191,-135.0107,53.46,62,100,13.44,overcast clouds
557,Riyadh,SA,24.6877,46.7219,89.74,40,1,7.25,clear sky
558,Roebourne,AU,-20.7833,117.1333,70.95,47,0,14.88,clear sky
559,Havelock,US,34.8791,-76.9013,84.15,90,0,9.22,clear sky
560,Qaqortoq,GL,60.7167,-46.0333,44.98,81,14,1.61,few clouds
561,Kabo,CF,7.6994,18.629,68.47,98,81,2.42,light rain
562,Pisco,PE,-13.7,-76.2167,60.03,88,20,9.22,mist
563,Batagay-Alyta,RU,67.8006,130.4114,47.97,80,100,2.75,overcast clouds
564,Khani,GE,41.9563,42.9566,65.77,95,28,2.89,scattered clouds
565,Cidreira,BR,-30.1811,-50.2056,60.69,88,99,10.11,overcast clouds
566,Penzance,GB,50.1186,-5.5371,65.08,97,100,16.71,overcast clouds
567,Chapais,CA,49.7834,-74.8492,56.98,71,5,4.83,clear sky
568,Jiangyou,CN,31.7667,104.7167,83.48,72,74,1.28,broken clouds
569,Anchorage,US,61.2181,-149.9003,66.13,78,100,8.01,overcast clouds
570,Joshimath,IN,30.5667,79.5667,72.84,83,61,2.73,broken clouds
571,Kabarnet,KE,0.4919,35.743,49.57,96,7,1.81,clear sky
572,Kashan,IR,33.9831,51.4364,83.79,23,0,0.0,clear sky
573,Kavaratti,IN,10.5669,72.642,80.31,79,100,22.86,moderate rain
574,Jucuaran,SV,13.2539,-88.2478,73.08,70,100,3.04,overcast clouds
575,Coahuayana,MX,18.7333,-103.6833,80.76,84,84,2.1,broken clouds
576,Yerbogachen,RU,61.2767,108.0108,64.49,97,100,5.66,light rain
577,Manokwari,ID,-0.8667,134.0833,81.64,75,96,1.77,overcast clouds
578,Sayat,TM,38.7839,63.8803,78.67,27,1,4.34,clear sky
579,Siderno,IT,38.2779,16.302,80.33,58,0,6.17,clear sky
580,Matsusaka,JP,34.5667,136.5333,91.29,50,3,10.38,clear sky
581,Envira,BR,-7.3,-70.2167,76.71,74,66,3.18,broken clouds
582,Kampot,KH,10.6167,104.1833,84.25,73,94,6.46,overcast clouds
583,Papar,MY,5.7333,115.9333,86.0,64,66,2.66,broken clouds
584,Pergamino,AR,-33.89,-60.5736,54.57,72,37,4.81,scattered clouds
585,Acarau,BR,-2.8856,-40.12,77.67,83,9,11.41,clear sky
586,La Rioja,ES,42.25,-2.5,64.18,40,16,3.89,few clouds
587,Birao,CF,10.2849,22.7882,69.78,98,77,4.25,light rain
588,Mountain Home,US,43.133,-115.6912,83.68,30,40,13.8,scattered clouds
589,Pajan,EC,-1.5667,-80.4167,69.03,90,9,4.16,clear sky
590,Andenes,NO,69.3143,16.1194,51.93,93,100,8.05,overcast clouds
591,El Alto,PE,-4.2714,-81.2147,63.68,84,57,11.21,broken clouds
592,Oistins,BB,13.0667,-59.5333,80.69,78,20,17.27,few clouds
593,Colon,PA,9.3592,-79.9014,81.1,84,100,7.0,overcast clouds
594,Beringovskiy,RU,63.05,179.3167,58.82,62,50,7.2,scattered clouds
595,Akdepe,TM,42.0551,59.3788,71.69,37,3,2.86,clear sky
596,Bashtanka,UA,47.4072,32.4387,63.9,86,99,8.7,overcast clouds
597,Chulym,RU,55.0997,80.9572,59.63,65,0,7.61,clear sky
598,Abu Samrah,SY,35.3029,37.1841,74.79,71,0,6.73,clear sky
599,Bud,US,39.447,-86.1758,75.18,90,0,6.06,clear sky
600,Yangambi,CD,0.8102,24.4336,70.03,82,17,1.28,few clouds
601,La Asuncion,VE,11.0333,-63.8628,82.13,89,78,11.5,broken clouds
602,Uppsala,SE,60.0,17.75,58.51,77,100,8.05,overcast clouds
603,Sur,OM,22.5667,59.5289,87.67,64,91,6.96,overcast clouds
604,Mackay,AU,-21.15,149.2,78.67,83,7,11.07,clear sky
605,Abnub,EG,27.2696,31.1511,82.58,39,34,10.31,scattered clouds
606,Zorritos,PE,-3.6805,-80.6782,70.09,82,27,2.77,scattered clouds
607,Colares,PT,38.7992,-9.4469,68.76,72,85,21.99,overcast clouds
608,Ithaca,US,42.4406,-76.4966,69.89,85,0,5.75,clear sky
609,Pershotravneve,UA,51.3929,28.8684,61.72,95,100,9.08,overcast clouds
610,Ucluelet,CA,48.9329,-125.5528,60.1,87,46,1.99,scattered clouds
611,Maralal,KE,1.0968,36.698,53.56,93,8,2.01,clear sky
612,Moose Factory,CA,51.2585,-80.6094,66.2,68,100,8.05,haze
613,Mpanda,TZ,-6.3655,31.0409,63.88,53,35,1.86,scattered clouds
614,Mount Isa,AU,-20.7333,139.5,85.77,25,17,10.36,few clouds
615,Joao Camara,BR,-5.5375,-35.8197,70.7,97,24,5.21,few clouds
616,Urumqi,CN,43.801,87.6005,81.55,30,0,2.24,clear sky
617,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,13.8,few clouds
618,Champerico,GT,14.3,-91.9167,82.53,77,7,6.93,clear sky
619,Halifax,CA,44.6453,-63.5724,71.49,98,97,1.01,overcast clouds
620,Silver City,US,32.7701,-108.2803,76.96,52,0,8.05,clear sky
621,Banes,CU,20.9625,-75.7186,79.32,83,0,10.22,clear sky
622,Shahgarh,IN,24.3167,79.1333,80.24,83,100,2.95,light rain
623,Pacifica,US,37.6138,-122.4869,78.15,88,75,19.57,broken clouds
624,Pekan,MY,3.4836,103.3996,80.71,85,100,6.67,overcast clouds
625,Teknaf,BD,20.8624,92.3058,82.78,81,99,6.87,overcast clouds
626,Elsdorf,DE,50.9374,6.5683,69.71,72,58,1.14,broken clouds
627,Miri,MY,4.4148,114.0089,82.54,83,40,5.75,scattered clouds
628,Puerto Lempira,HN,15.2667,-83.7667,79.93,88,100,10.29,overcast clouds
629,Mwinilunga,ZM,-11.7358,24.4293,57.04,53,88,5.35,overcast clouds
630,Thomasville,US,35.8826,-80.082,82.85,84,20,8.25,few clouds
631,Los Reyes,MX,19.35,-98.9667,64.15,66,40,6.91,scattered clouds
632,Ekhabi,RU,53.5102,142.9671,56.62,93,100,17.05,overcast clouds
633,Daru,PG,-9.0763,143.2092,81.99,80,22,15.14,few clouds
634,Santa Marta,CO,11.2408,-74.199,78.85,89,40,3.44,scattered clouds
635,Chifeng,CN,42.2683,118.9636,86.86,52,1,3.58,clear sky
636,Batemans Bay,AU,-35.7167,150.1833,62.1,56,86,8.37,overcast clouds
637,Namtsy,RU,62.7161,129.6658,69.12,78,98,4.45,overcast clouds
638,Waingapu,ID,-9.6567,120.2641,82.78,60,40,8.68,scattered clouds
639,Betanzos,ES,43.2804,-8.2147,70.11,86,100,4.61,overcast clouds
640,Slave Lake,CA,55.2834,-114.769,64.38,52,0,2.3,clear sky
641,Canico,PT,32.6333,-16.85,73.0,72,20,17.27,few clouds
642,Bambanglipuro,ID,-7.95,110.2833,80.38,78,95,7.02,overcast clouds
643,Kant,IN,27.8,79.8,80.26,87,100,8.48,overcast clouds
644,Hokitika,NZ,-42.7167,170.9667,54.25,73,0,8.48,clear sky
645,Iracoubo,GF,5.4802,-53.2011,77.74,89,95,8.41,moderate rain
646,Catuday,PH,16.2923,119.8062,81.68,74,100,6.33,overcast clouds
647,Estelle,US,29.8458,-90.1067,80.58,79,75,0.0,broken clouds
648,Cururupu,BR,-1.8283,-44.8683,74.25,91,6,3.47,clear sky
649,Ugento,IT,39.9263,18.1574,76.5,65,0,11.61,clear sky
650,Carlton,US,45.2943,-123.1765,90.45,47,0,3.44,clear sky
651,Beloha,MG,-25.1667,45.05,60.96,74,0,9.75,clear sky
652,Kangaatsiaq,GL,68.3065,-53.4641,42.03,94,100,11.52,overcast clouds
653,Aleksandrovka,UA,46.8383,32.7612,63.27,89,7,7.43,clear sky
654,Tezu,IN,27.9167,96.1667,81.03,88,100,0.36,light rain
655,Ndjole,GA,-0.1783,10.7649,70.65,86,53,3.42,broken clouds
656,Paamiut,GL,61.994,-49.6678,44.22,87,99,6.26,overcast clouds
657,Ovalle,CL,-30.5983,-71.2003,53.37,84,0,2.86,clear sky
658,Bereda,ES,43.2686,-7.5406,68.41,100,100,5.19,overcast clouds
659,Kungurtug,RU,50.5994,97.5228,62.51,70,100,1.36,overcast clouds
660,Mitsamiouli,KM,-11.3847,43.2844,74.57,72,2,5.32,clear sky
661,Myitkyina,MM,25.3833,97.4,78.58,95,100,0.36,overcast clouds
662,Xinxiang,CN,35.3089,113.8672,90.41,60,2,5.82,clear sky
663,Vung Tau,VN,10.346,107.0843,82.53,77,100,5.84,light rain
664,Plock,PL,52.5468,19.7064,60.82,81,100,1.61,overcast clouds
665,Ulladulla,AU,-35.35,150.4667,69.03,56,47,7.99,scattered clouds
666,Ostrovnoy,RU,68.0531,39.5131,53.78,98,100,4.97,moderate rain
667,Ylojarvi,FI,61.5563,23.5961,52.95,77,0,5.75,clear sky
668,Korla,CN,41.7597,86.1469,81.39,33,0,8.14,clear sky
669,Shaunavon,CA,49.6501,-108.4181,70.66,37,0,16.53,clear sky
670,Alyangula,AU,-13.8483,136.4192,80.51,71,76,10.13,broken clouds
671,Bonfim,BR,3.0833,-59.95,76.62,87,100,2.26,overcast clouds
672,Cooma,AU,-36.2333,149.1333,55.17,71,75,21.85,broken clouds
673,Cardston,CA,49.2,-113.3019,78.89,25,59,8.05,broken clouds
674,Riberalta,BO,-10.9833,-66.1,80.2,51,78,1.39,broken clouds
675,Kristiansund,NO,63.1115,7.732,59.65,77,75,5.75,light rain
676,Kyabe,TD,9.4515,18.9449,70.29,96,91,3.94,overcast clouds
